S.NO.,Product Name ,Product Specifications,Manufacture,Qty,Price,GST
99,BOZEMANN NEEDEL HOLDER,"18cm/ 7""",,1,316.8,12%
100,BOZEMANN NEEDEL HOLDER,"20cm/ 8""",,1,316.8,12%
101,MASSON NEEDEL HOLDER,"23cm/ 9""",,1,448.8,12%
102,MASSON NEEDEL HOLDER,"25cm/ 10""",,1,580.8,12%
103,JOHNSON NEEDEL HOLDER,"27cm/10 1/2""",,1,726,12%
104,NEEDLE HOLDERS (CRILE WOOD),"10cm/ 4""",,1,343.2,12%
105,NEEDLE HOLDERS (CRILE WOOD),"12.5cm/ 5""",,1,316.8,12%
106,NEEDLE HOLDERS (CRILE WOOD),"15cm/ 6""",,1,227.04,12%
107,NEEDLE HOLDERS (CRILE WOOD),"18cm/ 7""",,1,316.8,12%
108,NEEDLE HOLDERS (CRILE WOOD),"20cm/ 8""",,1,316.8,12%
109,NEEDLE HOLDERS (MAYO HEGAR),"15cm/ 6""",,1,227.04,12%
110,NEEDLE HOLDERS (MAYO HEGAR),"18cm/ 7""",,1,316.8,12%
111,NEEDLE HOLDERS (MAYO HEGAR),"20cm/ 8""",,1,316.8,12%
112,NEEDLE HOLDERS (WANGENSTENN),"23cm/ 9""",,1,448.8,12%
113,NEEDLE HOLDERS (WANGENSTENN),"25cm/ 10""",,1,580.8,12%
114,MASSON NEEDLE HOLDER,"23cm/ 9""",,1,580.8,12%
115,MASSON NEEDLE HOLDER,"25cm/ 10""",,1,580.8,12%
116,OLSEN-HEGAR (WITH SCISSORS),"14cm/6 1/2""",,1,1254,12%
117,GILLIES (WITH SCISSORS),"16cm/6 1/4""",,1,1254,12%
118,MATHIEU,"14cm/5 1/2""",,1,2046,12%
119,MATHIEU,"17cm/6 3/4""",,1,2442,12%
120,RYDER-VASCULAR TC,"13cm/ 5""",,1,1782,12%
121,RYDER-VASCULAR TC,"15cm/ 6""",,1,1914,12%
122,RYDER-VASCULAR TC,"18cm/ 7""",,1,2046,12%
123,RYDER-VASCULAR TC,"20cm/ 8""",,1,2046,12%
124,RYDER-VASCULAR TC,"23cm/ 9""",,1,2178,12%
125,RYDER-VASCULAR TC,"26cm/10 1/4""",,1,2178,12%
126,NEEDLE HOLDERS (RYDER) NORMAL,"13cm/ 5""",,1,316.8,12%
127,NEEDLE HOLDERS (RYDER),"15cm/ 6""",,1,227.04,12%
